species,location,habitat,id,bagging,rinsing,bagging.date,bagging.hour,collection.date,collection.hour,year,temp,hum,plant.no,flower.no,flower.age,flower.sex,sugar in micrograms/flower/24h,sugarmax in micrograms/flower/24h
Capsella bursa-pastoris,failand farm,grassland,2012-Capsella bursa-pastoris-failand farm-bag-19,bag,Y,12/9/12,17:30,13/09/2012,15:45,2012,9,27,2,19,y,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-1,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,1,1,m,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-10,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,5,10,m,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-2,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,1,2,m,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-3,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,2,3,m,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-4,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,2,4,m,h,7.044983113,4.999047188
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-5,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,3,5,m,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-6,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,3,6,o,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-7,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,4,7,m,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-8,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,4,8,m,h,0,0
Capsella bursa-pastoris,pill allotments,allotments,2012-Capsella bursa-pastoris-pill allotments-bag-9,bag,Y,5/7/12,10:00,6/7/12,12:00,2012,16,61,5,9,y,h,0,0
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-1,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,1,1,m,h,1.649845286,2.499523594
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-10,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,5,10,y,h,1.180286221,2.499523594
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-2,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,1,2,m,h,0,0
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-3,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,2,3,m,h,4.723739412,7.512857906
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-4,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,2,4,m,h,20.814186,56.1140415
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-5,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,3,5,m,h,2.214434161,2.499523594
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-6,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,3,6,m,h,7.048357953,10.0123815
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-7,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,4,7,y,h,0,0
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-8,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,4,8,m,h,3.849571895,5.003804
Cardamine hirsuta/flexuosa,clifton-constitution hill,cemetery-park,2012-Cardamine hirsuta/flexuosa-clifton-constitution hill-bag-9,bag,Y,1/5/12,18:00,2/5/12,17:00,2012,18,56,5,9,m,h,3.509057438,5.003804
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-12,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,1,12,m,h,88.41692157,88.41692157
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-13,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,1,13,m,h,39.86848507,39.86848507
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-14,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,1,14,m,h,125.7362375,125.7362375
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-15,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,2,15,m,h,73.67626296,73.67626296
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-16,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,2,16,y,h,0,0
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-17,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,2,17,m,h,54.81131933,54.81131933
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-18,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,3,18,m,h,14.0502729,14.0502729
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-19,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,3,19,o,h,48.68835211,48.68835211
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-20,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,4,20,m,h,0,0
Cardamine pratensis,brandon hill,grassland,2012-Cardamine pratensis-brandon hill-bag-21,bag,N,14/05/2012,15:00,15/05/2012,14:00,2012,11,57,4,21,m,h,16.32498912,16.32498912
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-1,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,1,1,m,h,143.8456708,143.8456708
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-10,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,7,10,m,h,0,0
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-2,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,2,2,m,h,0,0
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-3,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,2,3,m,h,0,0
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-4,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,3,4,m,h,156.1946957,156.1946957
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-5,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,3,5,m,h,185.7326323,185.7326323
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-6,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,4,6,m,h,108.7077837,108.7077837
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-7,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,4,7,m,h,8.784626305,8.784626305
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-8,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,5,8,m,h,85.79521955,85.79521955
Cardamine pratensis,north road-leigh woods,grassland,2012-Cardamine pratensis-north road-leigh woods-bag-9,bag,N,10/5/12,11:00,11/5/12,12:00,2012,15,62,6,9,m,h,22.87783043,22.87783043
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-12,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,1,12,m,m,0,0
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-13,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,1,13,m,m,5.474988964,7.503327594
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-14,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,2,14,m,m,0,0
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-15,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,2,15,m,m,1.304863116,2.499523594
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-16,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,3,16,m,m,0,0
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-17,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,3,17,y,m,0,0
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-18,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,4,18,m,m,0,0
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-19,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,4,19,m,m,0,0
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-20,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,5,20,m,m,16.5303467,15.030506
Castanea sativa,ashton court,grassland-woodland,2012-Castanea sativa-ashton court-bag-21,bag,Y,30/07/2012,11:00,31/07/2012,10:30,2012,18,87,5,21,m,m,3.588772853,4.999047188
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-1,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,1,1,m,m,5.288048225,39.17379654
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-10,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,2,10,m,m,0,0
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-2,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,1,2,o,m,1.978753366,14.07964921
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-3,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,1,3,o,m,0.329010773,2.499523594
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-4,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,1,4,m,m,0.821728364,2.499523594
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-5,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,2,5,m,m,0,0
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-6,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,2,6,o,m,1.854779699,10.026702
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-7,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,2,7,o,m,NA,NA
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-8,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,2,8,o,m,1.454566099,8.489529434
Castanea sativa,paradise bottom-leigh woods,woodland,2012-Castanea sativa-paradise bottom-leigh woods-bag-9,bag,Y,30/07/2012,10:30,31/07/2012,11:00,2012,18,87,2,9,m,m,NA,NA
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-12,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,1,12,m,h,173.042914,173.042914
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-13,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,1,13,m,h,199.8779752,199.8779752
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-14,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,2,14,m,h,60.42075536,60.42075536
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-15,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,2,15,m,h,50.22462484,50.22462484
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-16,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,3,16,m,h,193.8079641,193.8079641
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-17,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,3,17,m,h,64.71568386,64.71568386
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-18,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,4,18,m,h,393.7872574,393.7872574
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-19,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,4,19,m,h,207.9890346,207.9890346
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-20,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,5,20,m,h,138.6307047,138.6307047
Centaurea nigra,ashton court,grassland-nature reserve,2011-Centaurea nigra-ashton court-bag-21,bag,N,21/06/2011,12:30,22/06/2011,12:30,2011,20,73,5,21,m,h,70.90535272,70.90535272
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-1,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,1,1,y,h,259.921715,290.09237
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-10,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,5,10,m,h,176.6766793,191.666636
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-2,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,1,2,m,h,359.991181,394.611008
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-3,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,2,3,y,h,534.9979647,389.510399
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-34,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,1,34,m,h,304.3021387,304.3021387
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-35,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,1,35,y,m,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-36,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,2,36,y,m,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-37,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,3,37,m,m,NA,NA
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-38,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,3,38,o,h,173.356567,173.356567
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-39,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,4,39,m,m,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-4,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,2,4,m,h,247.0480853,203.146056
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-40,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,4,40,o,h,133.5607556,133.5607556
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-41,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,5,41,m,h,334.0443288,334.0443288
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-42,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,5,42,m,h,314.0458456,314.0458456
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-43,bag,N,15/06/2011,9:30,16/06/2011,13:30,2011,15,65,6,43,o,h,290.4476205,290.4476205
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-5,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,3,5,m,h,369.6997492,356.214194
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-6,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,3,6,m,h,22.55623492,30.157016
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-7,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,4,7,m,h,97.27363779,139.911287
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-8,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,4,8,m,h,55.34585666,60.623808
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-bag-9,bag,Y,8/6/11,10:30,9/6/11,15:00,2011,15,47,5,9,m,h,543.9899827,407.628558
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-23,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,1,23,y,m,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-24,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,1,24,y,m,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-25,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,2,25,m,h,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-26,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,2,26,y,m,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-27,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,3,27,m,m,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-28,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,3,28,m,h,NA,NA
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-29,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,4,29,m,h,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-30,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,4,30,m,h,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-31,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,5,31,m,m,0,0
Centaurea nigra,brandon hill,grassland-nature reserve,2011-Centaurea nigra-brandon hill-unbagged-32,unbagged,N,NA,NA,16/06/2011,14:00,2011,15,65,5,32,o,h,0,0
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-bag-1,bag,Y,1/8/11,10:30,2/8/11,12:00,2011,25,67,1,1,m,h,51.96987578,55.24768856
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-bag-2,bag,Y,1/8/11,10:30,2/8/11,12:00,2011,25,67,1,2,y,h,17.44261738,20.053404
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-bag-3,bag,Y,1/8/11,10:30,2/8/11,12:00,2011,25,67,2,3,y,h,0,0
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-bag-4,bag,Y,1/8/11,10:30,2/8/11,12:00,2011,25,67,3,4,m,h,37.17567946,40.106808
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-bag-5,bag,Y,1/8/11,10:30,2/8/11,12:00,2011,25,67,4,5,o,h,23.00392063,25.05245119
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-bag-6,bag,Y,1/8/11,10:30,2/8/11,12:00,2011,25,67,4,6,m,h,18.05568536,20.024763
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-bag-7,bag,Y,1/8/11,10:30,2/8/11,12:00,2011,25,67,5,7,m,h,38.50724822,45.20189256
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-bag-8,bag,Y,1/8/11,10:30,2/8/11,12:00,2011,25,67,6,8,m,h,42.87826721,45.14410994
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-23,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,1,23,m,h,0,0
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-24,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,2,24,m,h,6.626532518,4.999047188
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-25,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,3,25,m,h,4.242801551,4.999047188
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-26,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,4,26,o,h,2.236794117,4.999047188
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-27,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,5,27,m,h,0,0
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-28,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,6,28,m,h,22.54497533,25.03332381
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-29,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,7,29,m,h,31.46697071,35.09831394
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-30,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,7,30,m,h,8.874158468,10.007608
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-31,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,8,31,y,h,0,0
Cerastium fontanum,ashton court,grassland-nature reserve,2011-Cerastium fontanum-ashton court-unbagged-32,unbagged,Y,NA,NA,2/8/11,15:30,2011,27,56,8,32,m,h,0,0
Cerastium fontanum,brandon hill,grassland-nature reserve,2011-Cerastium fontanum-brandon hill-bag-12,bag,Y,27/07/2011,11:30,28/07/2011,11:30,2011,24,61,1,12,m,h,25.29738695,40.145263
Cerastium fontanum,brandon hill,grassland-nature reserve,2011-Cerastium fontanum-brandon hill-bag-13,bag,Y,27/07/2011,11:30,28/07/2011,11:30,2011,24,61,2,13,m,h,14.17467518,20.024763
Cerastium fontanum,brandon hill,grassland-nature reserve,2011-Cerastium fontanum-brandon hill-bag-14,bag,Y,27/07/2011,11:30,28/07/2011,11:30,2011,24,61,3,14,y,h,22.22077382,25.03332381
Cerastium fontanum,brandon hill,grassland-nature reserve,2011-Cerastium fontanum-brandon hill-bag-15,bag,Y,27/07/2011,11:30,28/07/2011,11:30,2011,24,61,4,15,o,h,45.97797406,65.52588331
Cerastium fontanum,brandon hill,grassland-nature reserve,2011-Cerastium fontanum-brandon hill-bag-16,bag,Y,27/07/2011,11:30,28/07/2011,11:30,2011,24,61,5,16,m,h,46.46381404,30.061012
Cerastium fontanum,brandon hill,grassland-park,2011-Cerastium fontanum-brandon hill-bag-23,bag,Y,31/07/2011,12:30,1/8/11,14:45,2011,26,57,1,23,m,h,50.04017562,75.47437369
Cerastium fontanum,brandon hill,grassland-park,2011-Cerastium fontanum-brandon hill-bag-24,bag,Y,31/07/2011,12:30,1/8/11,14:45,2011,26,57,2,24,m,h,13.49161237,15.00665519
Cerastium fontanum,brandon hill,grassland-park,2011-Cerastium fontanum-brandon hill-bag-25,bag,Y,31/07/2011,12:30,1/8/11,14:45,2011,26,57,2,25,m,h,11.12046987,15.02571581
Cerastium fontanum,brandon hill,grassland-park,2011-Cerastium fontanum-brandon hill-bag-26,bag,Y,31/07/2011,12:30,1/8/11,14:45,2011,26,57,3,26,y,h,0,0
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-1,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,1,1,m,m,636.6999182,636.6999182
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-10,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,5,10,m,m,637.7750193,637.7750193
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-2,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,1,2,m,h,844.7506772,844.7506772
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-3,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,1,3,y,m,171.3001401,171.3001401
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-4,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,2,4,m,m,537.7968741,537.7968741
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-5,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,2,5,o,m,512.8904879,512.8904879
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-6,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,3,6,o,h,1574.4669,1574.4669
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-7,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,3,7,o,h,1525.819152,1525.819152
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-8,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,4,8,m,m,288.6362585,288.6362585
Chamerion angustifolium,ashton court,woodland-carpark,2011-Chamerion angustifolium-ashton court-bag-9,bag,N,27/06/2011,14:00,28/06/2011,11:00,2011,21,78,4,9,m,h,1457.564323,1457.564323
